файл,раздел,вид,строки,текст
hero-scene.html,отладка,подстановка,3451,calls ${ri.calls} · точек ${(ri.points / 1e6).toFixed(2)}M
hero-scene.html,отладка,шаблон,7453 7455,БИБЛИОТЕКА
hero-scene.html,отладка,шаблон,7454,РЕШЕНИЙ
hero-scene.html,отладка,шаблон,7451,СЦЕНА
hero-scene.html,панель-настроек,строка,7285,) пусто — у всех заводские значения.
hero-scene.html,панель-настроек,строка,7284,): набор от
hero-scene.html,панель-настроек,строка,7304,"): набор только что, правка"
hero-scene.html,панель-настроек,строка,1031 3380 7237,Авто-качество:
hero-scene.html,панель-настроек,строка,7324,Вставьте код настроек:
hero-scene.html,панель-настроек,строка,1028 7231,Звук:
hero-scene.html,панель-настроек,строка,1034 7242,Картинка на весь экран:
hero-scene.html,панель-настроек,строка,1114 6690,Космонавтика и авиация
hero-scene.html,панель-настроек,строка,7284 7285 7304,На сервере (
hero-scene.html,панель-настроек,строка,7309,Не сохранилось:
hero-scene.html,панель-настроек,строка,7327,Не удалось разобрать код настроек
hero-scene.html,панель-настроек,строка,7259,Не удалось сохранить настройки в этом браузере
hero-scene.html,панель-настроек,строка,7291,Отправляю…
hero-scene.html,панель-настроек,строка,7288,Пароль. Настройки увидят ВСЕ посетители сайта:
hero-scene.html,панель-настроек,строка,7283,Сервер не отвечает: «для всех» работает только на боевом сайте (нужен php).
hero-scene.html,панель-настроек,строка,7319,Скопировано ✓
hero-scene.html,панель-настроек,строка,7320 7321,Скопируйте код настроек:
hero-scene.html,панель-настроек,строка,7301,Сохранено всем ✓
hero-scene.html,панель-настроек,строка,7257,Сохранено ✓
hero-scene.html,панель-настроек,строка,1059 7269 7273 7306…,Сохранить для всех
hero-scene.html,панель-настроек,строка,1025 7223,Старое окружение:
hero-scene.html,панель-настроек,строка,1049 7319,Экспорт
hero-scene.html,панель-настроек,строка,29 31 39 44…,вкл
hero-scene.html,панель-настроек,строка,1247 1636 1644 1875…,выкл
hero-scene.html,панель-настроек,строка,7256 7278,десктопный
hero-scene.html,панель-настроек,строка,1187 1196 7256 7278,мобильный
hero-scene.html,панель-настроек,строка,7278,планшетный
hero-scene.html,панель-настроек,строка,7307,сервер не ответил (нужен php на боевом сайте)
hero-scene.html,панель-настроек,строка,7183,экр
hero-scene.html,раскладка,строка,28 39 44 139…,А
hero-scene.html,раскладка,строка,14 39 44 61…,П
hero-scene.html,раскладка,строка,17 44 139 195…,С
hero-scene.html,раскладка,строка,32 581 822 827…,Ф
hero-scene.html,раскладка,строка,7 8 9 10…,а
hero-scene.html,раскладка,строка,6 7 8 10…,п
hero-scene.html,раскладка,строка,6 7 8 9…,с
hero-scene.html,раскладка,строка,6 13 18 40…,ф
hero-scene.html,сцена-подписи,строка,6690,ВДНХ · 2016
hero-scene.html,сцена-подписи,строка,6689,ВДНХ · 2018
hero-scene.html,сцена-подписи,строка,6676,Вижу · Деп. промышленности · 2023
hero-scene.html,сцена-подписи,строка,6681,Группа ПТК · 2019
hero-scene.html,сцена-подписи,строка,6678,МАКС · 2021
hero-scene.html,сцена-подписи,строка,6684,Москва-Сити · 2018
hero-scene.html,сцена-подписи,строка,6686,Музей-заповедник · 2018
hero-scene.html,сцена-подписи,строка,6685,Правительство Москвы · 2018
hero-scene.html,сцена-подписи,строка,6682,РСК «МИГ» · МАКС 2019
hero-scene.html,сцена-подписи,строка,6679,Росатом · 2024
hero-scene.html,сцена-подписи,строка,6680,Ростех · 2021
hero-scene.html,сцена-подписи,строка,6688,Синара ТМ
hero-scene.html,сцена-подписи,строка,6677,Форум «Россия» · 2023
hero-scene.html,сцена-подписи,строка,6688,Холдинг СТМ · 2018
hero-scene.html,таблица-рекордов,строка,6594,ВЫ —
hero-scene.html,таблица-рекордов,шаблон,6514,ЗАГРУЗКА…
hero-scene.html,таблица-рекордов,строка,6586,Имя занято
hero-scene.html,таблица-рекордов,строка,6594,МЕСТО ИЗ
hero-scene.html,таблица-рекордов,строка,6600,Не вышло — ещё раз
hero-scene.html,таблица-рекордов,строка,6495,ПОКА ПУСТО — БУДЬТЕ ПЕРВЫМ
hero-scene.html,таблица-рекордов,строка,854 1054 1059 1177…,Сохранить
hero-scene.html,таблица-рекордов,строка,6574,Сохраняю…
hero-scene.html,таблица-рекордов,шаблон,6518,ТАБЛИЦА ДОСТУПНА НА БОЕВОМ САЙТЕ
index.html,ассистент,строка,5410,. Ответы идут по прошитому сценарию.
index.html,ассистент,строка,6409,· реплик:
index.html,ассистент,строка,5418,"Бэкенд не отвечает: PHP не запущен. Идёт демонстрация сценария, письмо не отправится."
index.html,ассистент,строка,6933 6980,Вашими словами
index.html,ассистент,строка,5410 7287 7291,Демо-режим:
index.html,ассистент,строка,6086,КБ
index.html,ассистент,строка,7302,Копия описания отправлена на
index.html,ассистент,строка,770 772 3549 4136…,МБ
index.html,ассистент,строка,6099,МБ — пришлите ссылкой на облако.
index.html,ассистент,строка,6725,Материала достаточно — можно собирать описание.
index.html,ассистент,строка,6003,Мимо. Ещё раз.
index.html,ассистент,строка,6695,Модель не отвечает — вопросы идут по резервному списку. Бриф придёт со стенограммой.
index.html,ассистент,строка,7065,Модель не разобрала разговор — это черновик. Стенограмма уйдёт в письме целиком.
index.html,ассистент,строка,7297,На сервере не настроена почта. Напишите нам на info@playdisplay.com — или скачайте описание кнопкой «Скачать PDF» и пришлите вложением.
index.html,ассистент,строка,7322,Нажмите «Убрать файл» и отправьте бриф без него — или пришлите ссылкой.
index.html,ассистент,строка,6831,Не слышу ни слова. В Safari распознавание речи работает через раз — надёжнее написать текстом или открыть сайт в Chrome.
index.html,ассистент,строка,6832,Не слышу ни слова. Проверьте язык кнопками ниже и разрешение микрофона — или просто напишите текстом.
index.html,ассистент,строка,7296,"Описание сохранено, но письмо не отправлено."
index.html,ассистент,строка,6924 6975,Осталось выяснить
index.html,ассистент,строка,5413,Почта не настроена:
index.html,ассистент,строка,6099,Файл больше
index.html,ассистент,строка,7321,Файл не загрузился:
index.html,ассистент,строка,7321,Файл не загрузился: нет связи.
index.html,ассистент,строка,6100,Файл пустой.
index.html,ассистент,строка,5410,модель не подключена
index.html,ассистент,строка,5413 5418,письмо не отправится
index.html,ассистент,строка,5489,сессия потерялась — начните заново
index.html,ассистент,строка,5505,файл не принят
index.html,ассистент,строка,5509,файл не успел загрузиться — пришлите ссылкой
index.html,ассистент,строка,5491,этот браузер не умеет отправлять файлы
index.html,набор-символов,шаблон,1718,АБВГДЕЖЗИКЛМНОПРСТУФХЦЧШЩЭЮЯ0123456789/\\|
